cvemun_char,municipio,mujeres,hombres,total
1,Acatic,2,21,23
2,Acatlán de Juárez,2,37,39
3,Ahualulco de Mercado,1,23,24
4,Amacueca,0,2,2
5,Amatitán,0,10,10
6,Ameca,4,69,73
7,San Juanito de Escobedo,0,11,11
8,Arandas,3,147,150
9,El Arenal,4,50,54
10,Atemajac de Brizuela,0,3,3
11,Atengo,0,7,7
12,Atenguillo,0,1,1
13,Atotonilco el Alto,10,140,150
14,Atoyac,2,4,6
15,Autlán de Navarro,7,89,96
16,Ayotlán,10,55,65
17,Ayutla,3,21,24
18,La Barca,16,149,165
19,Bolaños,0,0,0
20,Cabo Corrientes,1,17,18
21,Casimiro Castillo,3,48,51
22,Cihuatlán,9,87,96
23,Zapotlán el Grande,16,107,123
24,Cocula,2,36,38
25,Colotlán,7,39,46
26,Concepción de Buenos Aires,0,7,7
27,Cuautitlán de García Barragán,0,19,19
28,Cuautla,0,3,3
29,Cuquío,1,6,7
30,Chapala,16,90,106
31,Chimaltitán,0,8,8
32,Chiquilistlán,0,3,3
33,Degollado,4,17,21
34,Ejutla,0,2,2
35,Encarnación de Díaz,29,201,230
36,Etzatlán,4,21,25
37,El Grullo,5,29,34
38,Guachinango,0,2,2
39,Guadalajara,249,1837,2086
40,Hostotipaquillo,0,5,5
41,Huejúcar,0,21,21
42,Huejuquilla el Alto,5,24,29
43,La Huerta,5,63,68
44,Ixtlahuacán de los Membrillos,12,110,122
45,Ixtlahuacán del Río,1,22,23
46,Jalostotitlán,2,57,59
47,Jamay,0,17,17
48,Jesús María,1,18,19
49,Jilotlán de los Dolores,0,7,7
50,Jocotepec,8,80,88
51,Juanacatlán,2,29,31
52,Juchitlán,1,11,12
53,Lagos de Moreno,71,458,529
54,El Limón,2,3,5
55,Magdalena,1,31,32
56,Santa María del Oro,0,10,10
57,La Manzanilla de la Paz,0,9,9
58,Mascota,1,5,6
59,Mazamitla,1,43,44
60,Mexticacán,0,3,3
61,Mezquitic,2,4,6
62,Mixtlán,1,8,9
63,Ocotlán,6,75,81
64,Ojuelos de Jalisco,9,37,46
65,Pihuamo,3,19,22
66,Poncitlán,2,41,43
67,Puerto Vallarta,27,389,416
68,Villa Purificación,3,15,18
69,Quitupan,1,15,16
70,El Salto,64,386,450
71,San Cristóbal de la Barranca,0,3,3
72,San Diego de Alejandría,1,5,6
73,San Juan de los Lagos,9,136,145
74,San Julián,2,23,25
75,San Marcos,0,2,2
76,San Martín de Bolaños,1,17,18
77,San Martín Hidalgo,1,16,17
78,San Miguel el Alto,2,95,97
79,Gómez Farías,1,7,8
80,San Sebastián del Oeste,2,13,15
81,Santa María de los Ángeles,0,3,3
82,Sayula,9,44,53
83,Tala,17,246,263
84,Talpa de Allende,0,20,20
85,Tamazula de Gordiano,3,31,34
86,Tapalpa,1,25,26
87,Tecalitlán,5,23,28
88,Tecolotlán,3,29,32
89,Techaluta de Montenegro,3,4,7
90,Tenamaxtlán,2,6,8
91,Teocaltiche,9,38,47
92,Teocuitatlán de Corona,0,2,2
93,Tepatitlán de Morelos,14,216,230
94,Tequila,3,54,57
95,Teuchitlán,0,11,11
96,Tizapán el Alto,2,17,19
97,Tlajomulco de Zúñiga,170,1071,1241
98,San Pedro Tlaquepaque,102,902,1004
99,Tolimán,0,7,7
100,Tomatlán,3,79,82
101,Tonalá,53,471,524
102,Tonaya,0,5,5
103,Tonila,2,18,20
104,Totatiche,1,3,4
105,Tototlán,0,7,7
106,Tuxcacuesco,0,22,22
107,Tuxcueca,0,9,9
108,Tuxpan,3,28,31
109,Unión de San Antonio,1,17,18
110,Unión de Tula,3,22,25
111,Valle de Guadalupe,0,6,6
112,Valle de Juárez,0,18,18
113,San Gabriel,4,47,51
114,Villa Corona,6,17,23
115,Villa Guerrero,0,9,9
116,Villa Hidalgo,0,5,5
117,Cañadas de Obregón,0,4,4
118,Yahualica de González Gallo,3,30,33
119,Zacoalco de Torres,1,18,19
120,Zapopan,211,1954,2165
121,Zapotiltic,6,24,30
122,Zapotitlán de Vadillo,0,11,11
123,Zapotlán del Rey,0,4,4
124,Zapotlanejo,2,45,47
125,San Ignacio Cerro Gordo,0,23,23
,Sin dato,12,59,71
